date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:15	140/140	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Feb%202018%2015:34:15%20GMT	http://w3help.org/robots.txt		(from )
23:34:17	74/74	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2004:10:09%20GMT	http://w3help.org/	./w3help.org/index.html	(from )
23:34:18	6232/6232	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Dec%202014%2007:59:11%20GMT	http://w3help.org/zh-cn/kb/	./w3help.org/zh-cn/kb/index.html	(from http://w3help.org/)
23:34:18	7635/7635	---M--	200	added ('OK')	text/css	etag:%224e8137ea-1dd3%22	http://w3help.org/zh-cn/css/common.css	./w3help.org/zh-cn/css/common.css	(from http://w3help.org/zh-cn/kb/)
23:34:19	1211/1211	---M--	200	added ('OK')	text/css	etag:%224e8137ea-4bb%22	http://w3help.org/zh-cn/css/compatibility_index.css	./w3help.org/zh-cn/css/compatibility_index.css	(from http://w3help.org/zh-cn/kb/)
23:34:20	6773/6773	---M--	200	added ('OK')	application/x-javascript	etag:%224e8137f3-1a75%22	http://w3help.org/zh-cn/js/global.js	./w3help.org/zh-cn/js/global.js	(from http://w3help.org/zh-cn/kb/)
23:34:21	8051/8051	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2002:58:30%20GMT	http://w3help.org/zh-cn/home/events.html	./w3help.org/zh-cn/home/events.html	(from http://w3help.org/zh-cn/kb/)
23:34:22	74/74	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2004:08:17%20GMT	http://w3help.org/zh-cn/	./w3help.org/zh-cn/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:24	6462/6462	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2002:58:31%20GMT	http://w3help.org/zh-cn/home/news.html	./w3help.org/zh-cn/home/news.html	(from http://w3help.org/zh-cn/kb/)
23:34:24	4867/4867	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2002:58:30%20GMT	http://w3help.org/zh-cn/home/forum.html	./w3help.org/zh-cn/home/forum.html	(from http://w3help.org/zh-cn/kb/)
23:34:25	6319/6319	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2003:33:40%20GMT	http://w3help.org/zh-cn/home/about.html	./w3help.org/zh-cn/home/about.html	(from http://w3help.org/zh-cn/kb/)
23:34:26	177/177	---M--	200	added ('OK')	image/gif	etag:%22519d85e0-b1%22	http://w3help.org/zh-cn/images/search_button.gif	./w3help.org/zh-cn/images/search_button.gif	(from http://w3help.org/zh-cn/kb/)
23:34:27	4654/4654	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2002:58:31%20GMT	http://w3help.org/zh-cn/home/standards.html	./w3help.org/zh-cn/home/standards.html	(from http://w3help.org/zh-cn/kb/)
23:34:28	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202018%2015:34:28%20GMT	http://w3help.org/zh-cn/standards	./w3help.org/zh-cn/standards	(from http://w3help.org/zh-cn/kb/)
23:34:32	58758/58758	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2002:59:09%20GMT	http://w3help.org/zh-cn/standards/	./w3help.org/zh-cn/standards/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:32	155172/155172	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2002:58:30%20GMT	http://w3help.org/zh-cn/home/glossary.html	./w3help.org/zh-cn/home/glossary.html	(from http://w3help.org/zh-cn/kb/)
23:34:33	5321/5321	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2002:58:29%20GMT	http://w3help.org/zh-cn/home/compatibility.html	./w3help.org/zh-cn/home/compatibility.html	(from http://w3help.org/zh-cn/kb/)
23:34:33	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202018%2015:34:32%20GMT	http://w3help.org/zh-cn/kb	./w3help.org/zh-cn/kb	(from http://w3help.org/zh-cn/kb/)
23:34:33	61813/61813	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202013%2009:57:42%20GMT	http://w3help.org/zh-cn/causes/index.html	./w3help.org/zh-cn/causes/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:33	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202018%2015:34:33%20GMT	http://w3help.org/zh-cn/casestudies	./w3help.org/zh-cn/casestudies	(from http://w3help.org/zh-cn/kb/)
23:34:35	2437/2437	---M--	200	added ('OK')	image/gif	etag:%22519d85f6-985%22	http://w3help.org/zh-cn/logo/google.gif	./w3help.org/zh-cn/logo/google.gif	(from http://w3help.org/zh-cn/kb/)
23:34:35	19334/19334	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/002/	./w3help.org/zh-cn/kb/002/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:36	5171/5171	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2002:41:46%20GMT	http://w3help.org/zh-cn/casestudies/	./w3help.org/zh-cn/casestudies/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:36	22126/22126	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/001/	./w3help.org/zh-cn/kb/001/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:37	15970/15970	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/004/	./w3help.org/zh-cn/kb/004/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:37	17707/17707	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/003/	./w3help.org/zh-cn/kb/003/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:37	4364/4364	---M--	200	added ('OK')	image/gif	etag:%225462d730-110c%22	http://w3help.org/zh-cn/logo/w3c-china.gif	./w3help.org/zh-cn/logo/w3c-china.gif	(from http://w3help.org/zh-cn/kb/)
23:34:40	17542/17542	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/008/	./w3help.org/zh-cn/kb/008/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:40	11613/11613	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/007/	./w3help.org/zh-cn/kb/007/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:40	26758/26758	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/006/	./w3help.org/zh-cn/kb/006/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:40	2852/2852	---M--	200	added ('OK')	image/gif	etag:%22519d85f5-b24%22	http://w3help.org/zh-cn/logo/firefox.gif	./w3help.org/zh-cn/logo/firefox.gif	(from http://w3help.org/zh-cn/kb/)
23:34:41	22051/22051	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/005/	./w3help.org/zh-cn/kb/005/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:42	25751/25751	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/010/	./w3help.org/zh-cn/kb/010/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:42	2650/2650	---M--	200	added ('OK')	image/gif	etag:%22519d85f5-a5a%22	http://w3help.org/zh-cn/logo/csdn.gif	./w3help.org/zh-cn/logo/csdn.gif	(from http://w3help.org/zh-cn/kb/)
23:34:43	20651/20651	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/009/	./w3help.org/zh-cn/kb/009/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:44	1141/1141	---M--	200	added ('OK')	image/gif	etag:%22519d85f6-475%22	http://w3help.org/zh-cn/logo/w3school.gif	./w3help.org/zh-cn/logo/w3school.gif	(from http://w3help.org/zh-cn/kb/)
23:34:44	26443/26443	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/011/	./w3help.org/zh-cn/kb/011/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:44	16212/16212	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/013/	./w3help.org/zh-cn/kb/013/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:44	13713/13713	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Sep%202014%2011:01:36%20GMT	http://w3help.org/zh-cn/kb/012/	./w3help.org/zh-cn/kb/012/index.html	(from http://w3help.org/zh-cn/kb/)
23:34:46	1459/1459	---M--	200	added ('OK')	image/gif	etag:%22519d85e0-5b3%22	http://w3help.org/zh-cn/images/valid-xhtml10.gif	./w3help.org/zh-cn/images/valid-xhtml10.gif	(from http://w3help.org/zh-cn/kb/)
23:34:46	4250/4250	---M--	200	added ('OK')	image/gif	etag:%225482b62b-109a%22	http://w3help.org/zh-cn/logo/web-club.gif	./w3help.org/zh-cn/logo/web-club.gif	(from http://w3help.org/zh-cn/kb/)
23:34:47	1684/1684	---M--	200	added ('OK')	image/jpeg	etag:%22519d85df-694%22	http://w3help.org/zh-cn/images/page_bg.jpg	./w3help.org/zh-cn/images/page_bg.jpg	(from http://w3help.org/zh-cn/css/common.css)
23:34:48	4557/4557	---M--	200	added ('OK')	image/gif	etag:%22519d85da-11cd%22	http://w3help.org/zh-cn/images/footer_bg.gif	./w3help.org/zh-cn/images/footer_bg.gif	(from http://w3help.org/zh-cn/css/common.css)
23:34:50	52/52	---M--	200	added ('OK')	image/gif	etag:%22519d85df-34%22	http://w3help.org/zh-cn/images/search_bg.gif	./w3help.org/zh-cn/images/search_bg.gif	(from http://w3help.org/zh-cn/css/common.css)
23:34:50	17201/17201	---M--	200	added ('OK')	image/jpeg	etag:%22519d85dd-4331%22	http://w3help.org/zh-cn/images/logo.jpg	./w3help.org/zh-cn/images/logo.jpg	(from http://w3help.org/zh-cn/css/common.css)
23:34:51	1219/1219	---M--	200	added ('OK')	image/gif	etag:%22519d85da-4c3%22	http://w3help.org/zh-cn/images/google.gif	./w3help.org/zh-cn/images/google.gif	(from http://w3help.org/zh-cn/css/common.css)
23:34:53	95/95	---M--	200	added ('OK')	image/gif	etag:%22519d85d9-5f%22	http://w3help.org/zh-cn/images/category_bottom_bg.gif	./w3help.org/zh-cn/images/category_bottom_bg.gif	(from http://w3help.org/zh-cn/css/common.css)
23:34:54	9028/9028	---M--	200	added ('OK')	image/jpeg	etag:%22519d85dd-2344%22	http://w3help.org/zh-cn/images/logo_shadow.jpg	./w3help.org/zh-cn/images/logo_shadow.jpg	(from http://w3help.org/zh-cn/css/common.css)
23:34:54	195/195	---M--	200	added ('OK')	image/gif	etag:%22519d85d9-c3%22	http://w3help.org/zh-cn/images/category_right_bg.gif	./w3help.org/zh-cn/images/category_right_bg.gif	(from http://w3help.org/zh-cn/css/common.css)
23:34:55	192/192	---M--	200	added ('OK')	image/gif	etag:%22519d85d9-c0%22	http://w3help.org/zh-cn/images/category.gif	./w3help.org/zh-cn/images/category.gif	(from http://w3help.org/zh-cn/css/common.css)
